列号,A,B,C,D,E,F,G,H,I,J,,
,40,20250109_museum_lecture,苏州当代美术馆照明设计讲座,Suzhou MoCA Lighting Design Lecture,讲座,Lecture,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20250109_museum_lecture/01.webp, aspect-square,col-span-1 row-span-1,2025-01,"""slug: 20250109_museum_lecture | title_cn: 胡国剑博士开展美术馆照明讲座 | title_en: Dr. Hu Guojian's Museum Lighting Lecture | desc_cn: 胡国剑博士在“右岸讲堂”分享美术馆照明设计策略及光与视知觉的关系。 | desc_en: Dr. Hu shared strategies on museum lighting design at Suzhou MoCA."" ","""CN_Entities: 视知觉;重点照明;苏州当代美术馆;健康指标 | EN_Entities: Visual Perception; Accent Lighting; Suzhou MoCA"""
,41,20250610_aladdin_award_best,荣获阿拉丁神灯奖,Won Aladdin Lamp Award,奖项,Award,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20250610_aladdin_award_best/01.webp,3:4,col-span-1 row-span-1,2025-06,"""slug: 20250610_aladdin_award_best | title_cn: 斩获阿拉丁全国最佳照明工程奖 | title_en: Won Aladdin Best Lighting Project Award | desc_cn: 杭州中心项目凭借优雅的光环境打造斩获第十三届阿拉丁全国最佳照明工程奖。 | desc_en: Hangzhou Centre won the national best lighting engineering award."" ","""CN_Entities: 阿拉丁神灯奖;照度控制;立面材质光效 | EN_Entities: Aladdin Lamp Award"""
,42,20221017_muse,荣获多项美国MUSE设计奖,Won Multiple American MUSE Design Awards,奖项,Award,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20221017_muse/01.webp, aspect-square,col-span-1 row-span-1,10/1/2022,"""slug: 20221017_muse | title_cn: 荣获多项美国MUSE设计奖 | title_en: Won Multiple American MUSE Design Awards | desc_cn: RDI瑞国际照明设计项目斩获2022届缪斯设计奖2金1银。 | desc_en: RDI projects won 2 Gold and 1 Silver at the 2022 MUSE Design Awards."" ","""CN_Entities: MUSE设计奖;建发·缦云;中信泰富 | EN_Entities: MUSE Design Awards;Jianfa Manyun;CITIC Square"""
,43,20220315_muse,喜获多项美国缪斯设计奖,Won Multiple American MUSE Design Awards,奖项,Award,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20220315_muse/01.webp, aspect-square,col-span-1 row-span-1,3/1/2022,"""slug: 20220315_muse | title_cn: 喜获多项美国缪斯设计奖 | title_en: Won Multiple American MUSE Design Awards | desc_cn: 我司广州越秀悦汇城等项目荣获美国缪斯设计奖。 | desc_en: Guangzhou Yuexiu Yuehui City project won the MUSE Design Award."" ","""CN_Entities: 缪斯设计奖;越秀悦汇城;格栅屏技术 | EN_Entities: MUSE Design Awards;Yuexiu Yuehui City;Grille Screen"""
,44,20211201_lit,频获嘉奖 - 美国LIT照明设计大奖,Frequent Honors at the LIT Lighting Design Awards,奖项,Award,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20211201_lit/01.webp,16:9,col-span-1 row-span-1,12/1/2021,"""slug: 20211201_lit | title_cn: 频获嘉奖 - 美国LIT照明设计大奖 | title_en: Frequent Honors at the LIT Lighting Design Awards | desc_cn: 上海天文馆与深圳光明文化艺术中心荣获美国LIT照明大奖。 | desc_en: Shanghai Astronomy Museum and Shenzhen Guangming Art Center won LIT Awards."" ","""CN_Entities: LIT大奖;上海天文馆;光明文化艺术中心 | EN_Entities: LIT Design Awards;Shanghai Astronomy Museum;Guangming Culture & Art Center"""
,45,20210520_credaward,入围「第七届地产设计大奖·中国」榜单,Shortlisted for the 7th CREDAWARD China,奖项,Award,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20210520_credaward/01.webp, aspect-square,col-span-1 row-span-1,5/1/2021,"""slug: 20210520_credaward | title_cn: 入围第七届地产设计大奖·中国榜单 | title_en: Shortlisted for the 7th CREDAWARD China | desc_cn: 上海晶耀前滩广场与西岸美术馆入围CREDAWARD照明设计榜单。 | desc_en: Shanghai Crystal Plaza and West Bund Museum shortlisted for CREDAWARD."" ","""CN_Entities: 地产设计大奖;晶耀前滩广场;西岸美术馆 | EN_Entities: CREDAWARD;Crystal Plaza;West Bund Museum"""
,46,20220113_ida,荣获美国IDA国际设计大奖,Won the American IDA International Design Award,奖项,Award,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20220113_ida/01.webp, aspect-square,col-span-1 row-span-1,1/1/2022,"""slug: 20220113_ida | title_cn: 荣获美国IDA国际设计大奖 | title_en: Won the American IDA International Design Award | desc_cn: 南京西路楼宇景观灯光与铁狮门前滩晶耀广场荣获IDA大奖。 | desc_en: Nanjing West Road and Crystal Plaza won the IDA International Design Award."" ","""CN_Entities: IDA国际设计大奖;南京西路;晶耀前滩 | EN_Entities: IDA Awards;Nanjing West Road;Crystal Plaza"""
,47,20220422_venice,2022年第59届威尼斯国际艺术双年展,The 59th Venice Biennale 2022,展览,Exhibition,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20220422_venice/01.webp,16:9,col-span-2 row-span-2,4/1/2022,"""slug: 20220422_venice | title_cn: 2022年第59届威尼斯国际艺术双年展中国馆 | title_en: The 59th Venice Biennale 2022 China Pavilion | desc_cn: RDI参与第59届威尼斯艺术双年展中国馆“元境”主题照明设计。 | desc_en: RDI participated in the lighting design for China Pavilion at Venice Biennale."" ","""CN_Entities: 威尼斯双年展;元境;中央美术学院 | EN_Entities: Venice Biennale;Meta-Scape;CAFA"""
,48,20220610_iald,喜获IALD国际照明设计大奖,Won the IALD International Lighting Design Award,奖项,Award,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20220610_iald/01.webp,16:9,col-span-2 row-span-2,6/1/2022,"""slug: 20220610_iald | title_cn: 喜获IALD国际照明设计大奖优秀奖 | title_en: Won the IALD International Lighting Design Award of Merit | desc_cn: 深圳光明文化艺术中心荣获第39届IALD国际照明设计优秀奖。 | desc_en: Shenzhen Guangming Culture & Art Center won the 39th IALD Award of Merit."" ","""CN_Entities: IALD;国际照明设计师协会;光明文化艺术中心 | EN_Entities: IALD;Award of Merit;Guangming Culture & Art Center"""
,49,20220811_dezeen,入围英国Dezeen Awards 2022 Longlist,Shortlisted for Dezeen Awards 2022 Longlist,奖项,Award,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20220811_dezeen/01.webp,3:4,col-span-1 row-span-2,8/1/2022,"""slug: 20220811_dezeen | title_cn: 入围英国Dezeen Awards 2022 Longlist | title_en: Shortlisted for Dezeen Awards 2022 Longlist | desc_cn: 深圳光明文化艺术中心成功入围2022英国Dezeen建筑大奖长名单。 | desc_en: Shenzhen Guangming Culture & Art Center shortlisted for Dezeen Awards 2022."" ","""CN_Entities: Dezeen Awards;光明文化艺术中心;人文之眼 | EN_Entities: Dezeen Awards;Guangming Culture Center;Eye of Culture"""
,50,20210527_aald,荣获亚洲照明设计奖,Won the Asian Lighting Design Award,奖项,Award,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20210527_aald/01.webp, aspect-square,col-span-1 row-span-1,5/1/2021,"""slug: 20210527_aald | title_cn: 荣获亚洲照明设计奖非凡之光与特别之光 | title_en: Won the Asian Lighting Design Award | desc_cn: 深圳光明文化艺术中心与世茂御榕武夷度假酒店斩获亚洲照明设计奖。 | desc_en: Multiple projects won the Asian Lighting Design Award."" ","""CN_Entities: 亚洲照明设计奖;AALD;世茂御榕 | EN_Entities: Asian Lighting Design Award;AALD;Shimao Yurong"""
,51,20210122_golden_finger,金绮樱：做有灵魂的灯光,Jin Qiying: Creating Lighting with Soul,奖项,Award,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20210122_golden_finger/01.webp,3:4,col-span-1 row-span-1,1/1/2021,"""slug: 20210122_golden_finger | title_cn: 第十届金手指奖总冠军金绮樱专访 | title_en: Interview with Golden Finger Award Champion Jin Qiying | desc_cn: 第十届金手指奖设计师大赛总冠军、RDI项目经理金绮樱分享照明设计理念。 | desc_en: Interview with Jin Qiying, champion of the 10th Golden Finger Award."" ","""CN_Entities: 金手指奖;金绮樱;城市夜景亮化 | EN_Entities: Golden Finger Award;Jin Qiying;Urban Night Lighting"""
,52,20210804_cldc,中国照明设计师大会,China Lighting Designers Conference,讲座,Lecture,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20210804_cldc/01.webp, aspect-square,col-span-1 row-span-1,8/1/2021,"""slug: 20210804_cldc | title_cn: 受邀出席第十届中国照明设计师大会 | title_en: Invited to the 10th China Lighting Designers Conference | desc_cn: 胡国剑总监受邀出席CLDC，分享算法与照明设计的深度结合。 | desc_en: Director Hu Guojian shared insights on algorithms and lighting design at CLDC."" ","""CN_Entities: 中国照明设计师大会;CLDC;算法与照明设计 | EN_Entities: CLDC;Lighting Designers Conference;Algorithm and Lighting"""
,53,20220228_magnolia,荣获多项白玉兰照明奖,Won Multiple Magnolia Lighting Awards,奖项,Award,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20220228_magnolia/01.webp, aspect-square,col-span-1 row-span-1,2/1/2022,"""slug: 20220228_magnolia | title_cn: 荣获上海市白玉兰照明奖 | title_en: Won Multiple Magnolia Lighting Awards | desc_cn: RDI上海天文馆与厦门宝龙一城项目荣膺白玉兰照明奖。 | desc_en: RDI won the Magnolia Lighting Award for Shanghai Astronomy Museum and more."" ","""CN_Entities: 白玉兰照明奖;上海市照明学会;上海天文馆 | EN_Entities: Magnolia Lighting Award;Shanghai Illuminating Engineering Society;Shanghai Astronomy Museum"""
,54,20221129_lit_cifi,荣获美国LIT照明设计大奖,Won the American LIT Lighting Design Award,奖项,Award,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20221129_lit_cifi/01.webp, aspect-square,col-span-1 row-span-1,11/1/2022,"""slug: 20221129_lit_cifi | title_cn: 荣获美国LIT照明设计大奖 | title_en: Won the American LIT Lighting Design Award | desc_cn: 上海旭辉企业大厦与建发缦云示范区获LIT照明设计大奖肯定。 | desc_en: Shanghai CIFI Tower and Jianfa Manyun won the LIT Lighting Design Award."" ","""CN_Entities: LIT照明设计大奖;旭辉企业大厦;端庄雅致静谧 | EN_Entities: LIT Award;CIFI TOWER;Lighting Design"""
,55,20210820_lightart,2021首届光艺术展,The 1st Light Art Exhibition 2021,展览,Exhibition,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20210820_lightart/01.webp,16:9,col-span-1 row-span-1,8/1/2021,"""slug: 20210820_lightart | title_cn: 参展2021首届光艺术展带来INTENLIGHT | title_en: Exhibited INTENLIGHT at the 1st Light Art Exhibition 2021 | desc_cn: 胡国剑总监团队联合展出悬浮光艺术装置INTENLIGHT，探讨光与力的美学。 | desc_en: Exhibited the interactive light art installation INTENLIGHT."" ","""CN_Entities: 光艺术展;INTENLIGHT;张拉结构;SPI控制 | EN_Entities: Light Art Exhibition;INTENLIGHT;Tension Structure;SPI Control"""
,56,20210521_aladdin,获阿拉丁神灯奖优秀工程奖,Won the Aladdin Magic Lamp Award,奖项,Award,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20210521_aladdin/01.webp, aspect-square,col-span-1 row-span-1,5/1/2021,"""slug: 20210521_aladdin | title_cn: 上海南京西路楼宇景观灯光获阿拉丁神灯奖 | title_en: Won the Aladdin Magic Lamp Award | desc_cn: 上海南京西路总体灯光规划项目荣膺阿拉丁神灯奖优秀工程奖。 | desc_en: Shanghai Nanjing West Road Lighting Planning won the Aladdin Magic Lamp Award."" ","""CN_Entities: 阿拉丁神灯奖;南京西路;城市功能照明 | EN_Entities: Aladdin Magic Lamp Award;Nanjing West Road;Urban Lighting"""
,57,20220307_honor,荣誉分享：上海市照明学会任命,Honor: Shanghai Illuminating Engineering Society Appointment,奖项,Award,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20220307_honor/01.webp, aspect-square,col-span-1 row-span-1,3/1/2022,"""slug: 20220307_honor | title_cn: 荣誉分享与照明设计专业委员会任命 | title_en: Honor Sharing and Committee Appointment | desc_cn: 胡国剑博士被聘为上海市照明学会照明设计专业委员会副主任委员。 | desc_en: Dr. Hu Guojian appointed as Vice Chairman of the Lighting Design Committee."" ","""CN_Entities: 上海市照明学会;数字化设计;胡国剑博士 | EN_Entities: Shanghai Illuminating Engineering Society;Digital Design;Dr. Hu Guojian"""
,58,20220930_xpulse,艺术装置《X PULSE 城市脉动》亮相2022设计上海@新天地设计节,X PULSE Art Installation at Design Shanghai @ Xintiandi Design Festival,展览,Exhibition,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20220930_xpulse/01.webp,16:9,col-span-1 row-span-1,9/1/2022,"""slug: 20220930_xpulse | title_cn: 城市脉动艺术装置亮相新天地设计节 | title_en: X PULSE Art Installation at Xintiandi Design Festival | desc_cn: RDI联合设计的艺术装置《X PULSE 城市脉动》惊艳亮相新天地设计节。 | desc_en: The X PULSE art installation debuted at the 2022 Xintiandi Design Festival."" ","""CN_Entities: 城市脉动;新天地设计节;日常灯光秀模式;隐藏互动模式 | EN_Entities: X PULSE;Xintiandi Design Festival;Light Show Mode;Interactive Mode"""
,59,20210910_artshenzhen,艺术深圳2021,Art Shenzhen 2021,论坛,Forum,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20210910_artshenzhen/01.webp, aspect-square,col-span-1 row-span-1,9/1/2021,"""slug: 20210910_artshenzhen | title_cn: 参展艺术深圳2021探讨建筑空间 | title_en: Art Shenzhen 2021: Architectural Space | desc_cn: 胡国剑总监受邀艺术深圳，分享“建筑空间与现代艺术”主题演讲。 | desc_en: Director Hu Guojian delivered a speech on architecture and modern art."" ","""CN_Entities: 艺术深圳;建筑空间与现代艺术;当代艺术 | EN_Entities: Art Shenzhen;Architectural Space and Modern Art;Contemporary Art"""
,60,20220722_cies,荣获多项中照照明奖,Won Multiple CIES Lighting Awards,奖项,Award,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20220722_cies/01.webp, aspect-square,col-span-1 row-span-1,7/1/2022,"""slug: 20220722_cies | title_cn: 荣获中照照明奖 | title_en: Won Multiple CIES Lighting Awards | desc_cn: 吴文化博物馆等项目以层次分明的照明呈现获中照照明奖殊荣。 | desc_en: Wu Culture Museum and other projects won the CIES Lighting Awards."" ","""CN_Entities: 中照照明奖;吴文化博物馆;发光亮度控制 | EN_Entities: CIES Lighting Awards;Wu Culture Museum;Luminance Control"""
,61,20220527_aladdin,厦门宝龙一城荣获阿拉丁神灯奖,Xiamen Powerlong One Mall Won the Aladdin Magic Lamp Award,奖项,Award,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20220527_aladdin/01.webp, aspect-square,col-span-1 row-span-1,5/1/2022,"""slug: 20220527_aladdin | title_cn: 厦门宝龙一城荣获阿拉丁神灯奖最佳工程奖 | title_en: Xiamen Powerlong One Mall Won the Aladdin Magic Lamp Award | desc_cn: 厦门宝龙一城斩获第十届阿拉丁神灯奖最佳商业建筑景观照明工程奖。 | desc_en: Xiamen Powerlong One Mall won the Best Project Award at the 10th Aladdin Magic Lamp Awards."" ","""CN_Entities: 阿拉丁神灯奖;厦门宝龙一城;商业建筑景观照明 | EN_Entities: Aladdin Magic Lamp Award;Xiamen Powerlong One Mall;Commercial Lighting"""
,62,20210805_aald_forum,第17届亚洲照明艺术论坛,The 17th Asian Lighting Art Forum,论坛,Forum,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20210805_aald_forum/01.webp, aspect-square,col-span-1 row-span-1,8/1/2021,"""slug: 20210805_aald_forum | title_cn: 出席第17届亚洲照明艺术论坛 | title_en: The 17th Asian Lighting Art Forum | desc_cn: 胡国剑总监出席第17届亚洲照明艺术论坛，围绕光与空间主题发表演讲。 | desc_en: Director Hu Guojian shared insights on light and space at the Asian Lighting Art Forum."" ","""CN_Entities: 亚洲照明艺术论坛;亚洲照明设计师协会;光与空间 | EN_Entities: Asian Lighting Art Forum;AALD;Light and Space"""
,63,20260515_caup_light_show_p1,CAUP光影秀闪耀，致敬2026国际光日（上）,CAUP Light Show Shines Paying Tribute to 2026 International Day of Light (Part 1),节日,Festival,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20260515_caup_light_show_p1/01.webp,3:4,col-span-1 row-span-1,5/1/2026,"""slug: 20260515_caup_light_show_p1 | title_cn: 同济CAUP光影秀致敬2026国际光日上篇 | title_en: Tongji CAUP Light Show Pays Tribute to 2026 International Day of Light Part 1 | desc_cn: 同济大学建筑与城市规划学院学子以光为媒介呈现沉浸式光影交互实践。 | desc_en: Students from Tongji CAUP present an immersive interactive light show as a tribute to the International Day of Light.""","""CN_Entities: 建筑物理光环境;3D Mapping;AI创意编程;数据可视化;生物电感知 | EN_Entities: Architectural Physics Light Environment;3D Mapping;AI Creative Programming;Data Visualization;Bioelectric Perception"""
,64,20260529_alighting_award,荣获阿拉丁神灯奖,Winning the Alighting Award,奖项,Award,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20260529_alighting_award/01.webp, aspect-square,col-span-1 row-span-1,5/1/2026,"""slug: 20260529_alighting_award | title_cn: 荣获第十四届阿拉丁神灯奖全国最佳照明工程奖 | title_en: Winning the 14th Alighting Award for Best National Lighting Project | desc_cn: 我司上海西岸梦中心项目凭借内光外透等设计手法荣获全国最佳照明工程奖。 | desc_en: Our Shanghai West Bund Dream Center project won the Best National Lighting Project award with its internal light transmitting outward design.""","""CN_Entities: 阿拉丁神灯奖;全国最佳照明工程奖;上海西岸梦中心;内光外透;百年工业遗址 | EN_Entities: Alighting Award;Best National Lighting Project;Shanghai West Bund Dream Center;Internal light transmitting outward;Century-old industrial heritage"""
,65,20260516_caup_light_show_p2,光语无形 智感共生丨CAUP光影秀闪耀，致敬2026国际光日（下）,Formless Light Language Symbiotic Intelligence | CAUP Light Show Shines Paying Tribute to 2026 International Day of Light (Part 2),展览,Exhibition,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20260516_caup_light_show_p2/01.webp, aspect-square,col-span-1 row-span-1,5/1/2026,"""slug: 20260516_caup_light_show_p2 | title_cn: 同济CAUP光影秀致敬2026国际光日下篇 | title_en: Tongji CAUP Light Show Pays Tribute to 2026 International Day of Light Part 2 | desc_cn: 2026年建筑物理光环境课程作业展示评审活动下篇，展示了自然生命与数据的光影表达。 | desc_en: Part 2 of the 2026 Architectural Physics Light Environment course exhibition showcasing the lighting expressions of natural life and data.""","""CN_Entities: 国际光日;建筑物理光环境课程;数据可视化设计;人体生理数据 | EN_Entities: International Day of Light;Architectural Physics Light Environment Course;Data Visualization Design;Human Physiological Data"""
,66,20260316_muse_design_award,荣获美国MUSE设计奖,Winning the American MUSE Design Award,奖项,Award,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20260316_muse_design_award/01.webp,16:9,col-span-1 row-span-1,3/1/2026,"""slug: 20260316_muse_design_award | title_cn: 我司荣获美国MUSE设计奖 | title_en: Winning the American MUSE Design Award | desc_cn: 凭借上海国际光影节装置及龙美术馆展陈照明项目，我司荣获设计界奥斯卡缪斯设计奖。 | desc_en: We won the MUSE Design Award for our installations at the Shanghai International Light Festival and exhibition lighting at the Long Museum.""","""CN_Entities: 缪斯设计奖;上海国际光影节;徐汇西岸浦岸云潮;龙美术馆天地大观展陈照明;天地八卦 | EN_Entities: MUSE Design Awards;Shanghai International Light Festival;Xuhui West Bund Pu An Yun Chao;Long Museum Exhibition Lighting;Eight Trigrams of Heaven and Earth"""
,67,20260211_rdi_annual_meeting,光影砺行 瑞启新程-年会,Light and Shadow Forge Ahead Rui Opens a New Journey - Annual Meeting,展览,Exhibition,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20260211_rdi_annual_meeting/01.webp, aspect-square,col-span-1 row-span-1,2/1/2026,"""slug: 20260211_rdi_annual_meeting | title_cn: RDI瑞国际照明设计2025年度年会 | title_en: RDI International Lighting Design 2025 Annual Meeting | desc_cn: RDI全体同仁欢聚一堂举行2025年度年会，坚持技术创新携手共赴新程。 | desc_en: RDI colleagues gathered to hold the 2025 annual meeting insisting on technological innovation to start a new journey.""","""CN_Entities: RDI瑞国际照明设计;2025年度年会;技术创新 | EN_Entities: RDI International Lighting Design;2025 Annual Meeting;Technical innovation"""
,68,20201118_light_spot_forum,光点2020论坛,Light Spot 2020 Forum,展览,Exhibition,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20201118_light_spot_forum/01.webp,3:4,col-span-1 row-span-1,11/1/2020,"""slug: 20201118_light_spot_forum | title_cn: 光点2020论坛 - 数媒技术在建筑照明中的应用 | title_en: Light Spot 2020 Forum - Application of Digital Media Technology in Architectural Lighting | desc_cn: 我司胡国剑总监受邀分享数媒技术在建筑照明中的应用与实践。 | desc_en: Director Hu Guojian was invited to share the application and practice of digital media technology in architectural lighting."" ","""CN_Entities: 光点2020论坛;新媒体;建筑照明;TouchDesigner;胡国剑 | EN_Entities: Light Spot 2020 Forum;New Media;Architectural Lighting;TouchDesigner;Hu Guojian"""
,69,20200903_credaward,荣获第六届CREDAWARD地产设计大奖优秀奖,Won the Excellence Award of the 6th CREDAWARD,奖项,Award,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20200903_credaward/01.webp,16:9,col-span-1 row-span-1,9/1/2020,"""slug: 20200903_credaward | title_cn: 荣获第六届CREDAWARD地产设计大奖优秀奖 | title_en: Won the Excellence Award of the 6th CREDAWARD | desc_cn: 瑞安壹方天地北馆和武汉金禾城市广场两个项目皆荣获优秀奖。 | desc_en: Both Rui'an Yifang Tiandi North Pavilion and Wuhan Jinhe City Plaza won the Excellence Award."" ","""CN_Entities: CREDAWARD;地产设计大奖;武汉瑞安壹方天地北馆;武汉金禾城市广场 | EN_Entities: CREDAWARD;Real Estate Design Award;Wuhan Rui'an Yifang Tiandi North Pavilion;Wuhan Jinhe City Plaza"""
,70,20200619_glass_curtain_wall,玻璃幕墙培训基础课程之项目参观,Project Visit of Glass Curtain Wall Training Basic Course,讲座,Lecture,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20200619_glass_curtain_wall/01.webp, aspect-square,col-span-1 row-span-1,6/1/2020,"""slug: 20200619_glass_curtain_wall | title_cn: 玻璃幕墙培训基础课程之项目参观 | title_en: Project Visit of Glass Curtain Wall Training Basic Course | desc_cn: 胡总带领建筑师参观我司设计的晶耀前滩项目，分享幕墙建筑照明。 | desc_en: Director Hu led architects to visit the Jingyao Qiantan project designed by our company."" ","""CN_Entities: 玻璃幕墙;晶耀前滩项目;铁狮门;KPF | EN_Entities: Glass Curtain Wall;Jingyao Qiantan Project;Tishman Speyer;KPF"""
,71,20180903_mobius_ring,创智天地巨型“莫比乌斯环”点亮五角场,Giant Mobius Ring Lights Up Wujiaochang,展览,Exhibition,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20180903_mobius_ring/01.webp,16:9,col-span-1 row-span-1,9/1/2018,"""slug: 20180903_mobius_ring | title_cn: 创智天地巨型莫比乌斯环点亮五角场 | title_en: Giant Mobius Ring Lights Up Wujiaochang | desc_cn: 亚洲最大互动数字雕塑莫比乌斯曲面亮灯，我司参与照明及互动设计。 | desc_en: Asia's largest interactive digital sculpture Mobius Ring is lit up, with lighting and interactive design by our company."" ","""CN_Entities: 创智天地;莫比乌斯环;五角场;互动数字雕塑;张周捷 | EN_Entities: Chuangzhi Tiandi;Mobius Ring;Wujiaochang;Interactive Digital Sculpture;Zhang Zhoujie"""
,72,20200909_specialized_sme,荣获上海市“专精特新”企业荣誉称号,Won the Honorary Title of Specialized and Sophisticated SME in Shanghai,奖项,Award,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20200909_specialized_sme/01.webp, aspect-square,col-span-1 row-span-1,9/1/2020,"""slug: 20200909_specialized_sme | title_cn: 荣获上海市“专精特新”企业荣誉称号 | title_en: Won the Honorary Title of Specialized and Sophisticated SME in Shanghai | desc_cn: 上海瑞逸环境设计有限公司荣获2020年度“专精特新”企业荣誉。 | desc_en: Shanghai Ruiyi Environmental Design Co., Ltd. won the honor of Specialized and Sophisticated SME for 2020."" ","""CN_Entities: 专精特新;国家高新技术企业;交互灯光装置 | EN_Entities: Specialized and Sophisticated;National High-tech Enterprise;Interactive Lighting Installation"""
,73,20200925_credaward_ceremony,第六届CREDAWARD地产设计大奖颁奖盛典,The 6th CREDAWARD Ceremony,奖项,Award,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20200925_credaward_ceremony/01.webp,16:9,col-span-1 row-span-1,9/1/2020,"""slug: 20200925_credaward_ceremony | title_cn: 第六届CREDAWARD地产设计大奖颁奖盛典 | title_en: The 6th CREDAWARD Ceremony | desc_cn: 胡国剑总监亲临上海中心颁奖现场，我司斩获地产设计大奖两项优秀奖。 | desc_en: Director Hu Guojian attended the award ceremony at Shanghai Tower."" ","""CN_Entities: CREDAWARD;上海中心;武汉瑞安壹方天地北馆;胡国剑 | EN_Entities: CREDAWARD;Shanghai Tower;Wuhan Rui'an Yifang Tiandi North Pavilion;Hu Guojian"""
,74,20200115_year_end_review,年末活动回顾,Year-end Event Review,节日,Festival,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20200115_year_end_review/01.webp,3:4,col-span-1 row-span-1,1/1/2020,"""slug: 20200115_year_end_review | title_cn: 年末活动回顾：静安南京路灯光改造及照明讲座 | title_en: Year-end Event Review: Jing'an Nanjing Road Lighting Renovation and Lectures | desc_cn: 回顾我司参与的中央美院讲座及静安南京路灯光总体提升改造项目。 | desc_en: Review of the lectures at CAFA and the lighting renovation project of Jing'an Nanjing Road."" ","""CN_Entities: 中央美术学院;静安南京路;灯光改造;同济大学 | EN_Entities: Central Academy of Fine Arts;Jing'an Nanjing Road;Lighting Renovation;Tongji University"""
,75,20201201_iald_university_plan,2020 IALD大中华「1+N」高校计划,2020 IALD Greater China 1+N University Plan,展览,Exhibition,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20201201_iald_university_plan/01.webp, aspect-square,col-span-1 row-span-1,12/1/2020,"""slug: 20201201_iald_university_plan | title_cn: 2020 IALD大中华「1+N」高校计划 | title_en: 2020 IALD Greater China 1+N University Plan | desc_cn: 组织多所高校学生来我司参观，胡国剑先生带来精彩案例分析。 | desc_en: Organized students from multiple universities to visit our company."" ","""CN_Entities: IALD;国际照明设计师协会;白衬衫计划 | EN_Entities: IALD;International Association of Lighting Designers;White Shirt Plan"""
,76,20180502_adesign_award,喜获第四届地产设计大奖金奖后，又斩获一重要国际照明奖项,Won Another Important International Lighting Award After the CREDAWARD Gold,奖项,Award,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20180502_adesign_award/01.webp,16:9,col-span-1 row-span-1,5/1/2018,"""slug: 20180502_adesign_award | title_cn: 斩获第四届地产设计大奖金奖与国际大奖 | title_en: Won CREDAWARD Gold and International Design Award | desc_cn: 凭借苏悦广场项目荣获地产设计大奖十大金奖及A’DESIGN AWARD等大奖。 | desc_en: Won Top 10 Gold in CREDAWARD and A'DESIGN AWARD for Suyue Plaza."" ","""CN_Entities: 地产设计大奖;十大金奖;苏悦广场;A'DESIGN AWARD | EN_Entities: CREDAWARD;Top 10 Gold Awards;Suyue Plaza;A'DESIGN AWARD"""
